Ημερομηνία,Longitude,Latitude,"Περιοχή συλλογής δείγματος",Μέτρηση,"Είδος αποτελέσματος","Μονάδα μέτρησης",Τιμή
01/01/2023,23.78300677,38.09159562,1940,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.55
01/01/2023,23.6757781,37.98986434,7130,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.33
01/01/2023,23.67859731,37.98285386,7160,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.34
01/01/2023,23.71526374,37.99861446,8020,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.5
01/01/2023,23.68352714,37.95996401,8110,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.25
01/01/2023,23.6996483,37.96500634,8130,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.39
01/01/2023,23.73214999,38.00419846,16010,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.55
01/01/2023,23.72888487,38.0005926,16020,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.46
01/01/2023,23.72535484,38.00000309,16030,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.51
01/01/2023,23.72141341,37.99768581,16050,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.47
01/01/2023,23.72075398,37.99777086,16060,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.5
01/01/2023,23.72643431,37.99425298,16080,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.52
01/01/2023,23.72499664,37.99240677,16090,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.5
01/01/2023,23.7248553,37.98783332,16100,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.39
01/01/2023,23.71898302,37.98242795,16110,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.31
01/01/2023,23.72062918,37.97839249,16120,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.35
01/01/2023,23.71000626,37.97565734,16150,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.42
01/01/2023,23.70480243,37.97732538,16160,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.37
01/01/2023,23.70700868,37.97977744,16180,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.4
01/01/2023,23.71053939,37.98373489,16190,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.31
01/01/2023,23.7123205,37.98664437,16200,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.37
01/01/2023,23.71174522,37.9908589,16210,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.4
01/01/2023,23.71067473,37.9913199,16220,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.44
01/01/2023,23.70987554,37.9954696,16230,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.49
01/01/2023,23.7090367,37.99781501,16240,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.53
01/01/2023,23.71155311,37.99888238,16250,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.51
01/01/2023,23.71561129,37.99801216,16260,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.48
01/01/2023,23.71733907,37.99783345,16270,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.46
01/01/2023,23.72480334,38.01112849,16280,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.43
01/01/2023,23.73155962,38.01179041,16300,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.37
01/01/2023,23.7339411,38.01643787,16310,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.39
01/01/2023,23.73171668,38.01664453,16320,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.41
01/01/2023,23.73360975,38.02130286,16330,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.48
01/01/2023,23.73279904,38.02101261,16340,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.5
01/01/2023,23.68025495,37.99038194,24010,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.39
01/01/2023,23.67904334,37.98703812,24020,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.43
01/01/2023,23.66718472,37.98425887,24040,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.41
01/01/2023,23.66627136,37.98707018,24050,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.46
01/01/2023,23.66832778,37.98908946,24060,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.48
01/01/2023,23.66728026,37.99018427,24070,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.44
01/01/2023,23.65903145,37.98985529,24100,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.43
01/01/2023,23.65856883,37.98433286,24130,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.41
01/01/2023,23.65802211,37.983576,24140,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.44
01/01/2023,23.65435952,37.98301767,24150,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.51
01/01/2023,23.65148754,37.98427604,24160,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.43
01/01/2023,23.6480405,37.98515589,24170,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.4
01/01/2023,23.64353739,37.98492963,24180,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.42
01/01/2023,23.63585886,37.98096317,24190,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.39
01/01/2023,23.63067905,37.97915797,24200,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.48
01/01/2023,23.632978,37.97773934,24210,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.4
01/01/2023,23.64398863,37.97744366,24220,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.43
01/01/2023,23.6431361,37.97557055,24230,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.41
01/01/2023,23.64704245,37.9771777,24240,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.3
01/01/2023,23.65184525,37.97708594,24250,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.32
01/01/2023,23.65364405,37.97446778,24260,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.29
01/01/2023,23.65316503,37.97377004,24270,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.37
01/01/2023,23.65663496,37.97748171,24280,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.44
01/01/2023,23.65313083,37.97878902,24290,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.4
01/01/2023,23.65180541,37.97978426,24300,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.42
01/01/2023,23.65116139,37.97843367,24310,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.38
01/01/2023,23.66012638,37.97347094,24330,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.4
01/01/2023,23.68049378,37.99460348,24340,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.28
01/01/2023,23.68036841,37.99373304,24350,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.25
01/01/2023,23.68207397,37.99688008,24360,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.31
01/01/2023,23.6834625,37.99681064,24370,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.42
01/01/2023,23.69127053,37.99634939,24390,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.45
01/01/2023,23.69672796,38.00408018,24410,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.43
01/01/2023,23.70093272,38.00388546,24420,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.32
01/02/2023,23.78300677,38.09159562,1940,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.54
01/02/2023,23.72850158,38.02107731,2010,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.39
01/02/2023,23.71516747,38.06439445,2020,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.21
01/02/2023,23.70747263,38.06250703,2030,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.24
01/02/2023,23.684522,38.04327857,2050,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.29
01/02/2023,23.67622507,38.03886797,2060,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.35
01/02/2023,23.69070897,38.03873978,2070,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.4
01/02/2023,23.71109252,38.03060497,2080,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.36
01/02/2023,23.70393953,38.01961122,2090,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.41
01/02/2023,23.690026,38.01459418,2100,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.37
01/02/2023,23.68563533,38.01170402,2110,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.32
01/02/2023,23.69068855,38.00659931,2130,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.29
01/02/2023,23.60436979,38.01172891,2150,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.37
01/02/2023,23.66048215,38.00325623,2160,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.36
01/02/2023,23.65721338,37.99035734,2170,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.43
01/02/2023,23.66968564,37.99103311,2180,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.41
01/02/2023,23.68827264,37.99218476,2190,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.45
01/02/2023,23.70903775,37.99405955,2210,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.58
01/02/2023,23.71167012,37.99890096,2220,"Υπολειμματικό Χλώριο","Τελικό Αποτέλεσμα",mg/l,0.47
