ΤΚ,Περιοχή,Ζώνη,"Συνολική κατανάλωση","Ημέρες κατανάλωσης","Μέση ημερήσια κατανάλωση","Πλήθος παροχών","Μήνας κατανάλωσης"
10431,ΚΕΝΤΡΟ,"Κλάση A",199,10951,0.00,377,01/2023
10431,ΚΕΝΤΡΟ,"Κλάση Β","1,537",5738,0.30,203,01/2023
10431,ΚΕΝΤΡΟ,"Κλάση Γ","1,345",1960,0.70,76,01/2023
10431,ΚΕΝΤΡΟ,"Κλάση Δ","2,103",1202,1.80,48,01/2023
10431,ΚΕΝΤΡΟ,"Κλάση Ε","2,572",179,14.40,6,01/2023
10432,ΚΕΝΤΡΟ,"Κλάση A",288,19872,0.00,642,01/2023
10432,ΚΕΝΤΡΟ,"Κλάση Β","1,506",6665,0.20,215,01/2023
10432,ΚΕΝΤΡΟ,"Κλάση Γ","1,351",1922,0.70,62,01/2023
10432,ΚΕΝΤΡΟ,"Κλάση Δ","2,739",1259,2.20,41,01/2023
10432,ΚΕΝΤΡΟ,"Κλάση Ε","2,371",217,10.90,7,01/2023
10432,ΜΟΥΣΕΙΟ,"Κλάση A",62,2728,0.00,88,01/2023
10432,ΜΟΥΣΕΙΟ,"Κλάση Β",249,1054,0.20,34,01/2023
10432,ΜΟΥΣΕΙΟ,"Κλάση Γ",49,62,0.80,2,01/2023
10432,ΜΟΥΣΕΙΟ,"Κλάση Δ",89,62,1.40,2,01/2023
10432,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση A",158,10329,0.00,336,01/2023
10432,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Β","1,261",5328,0.20,172,01/2023
10432,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Γ",734,1093,0.70,36,01/2023
10432,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Δ","1,211",610,2.00,20,01/2023
10433,ΑΓΓΕΛΟΠΟΥΛΟΥ,"Κλάση A",36,1271,0.00,41,01/2023
10433,ΑΓΓΕΛΟΠΟΥΛΟΥ,"Κλάση Β",198,930,0.20,30,01/2023
10433,ΑΓΓΕΛΟΠΟΥΛΟΥ,"Κλάση Γ",72,93,0.80,3,01/2023
10433,ΚΕΝΤΡΟ,"Κλάση A",27,1302,0.00,42,01/2023
10433,ΚΕΝΤΡΟ,"Κλάση Β",149,589,0.30,19,01/2023
10433,ΚΕΝΤΡΟ,"Κλάση Γ",53,93,0.60,3,01/2023
10433,ΜΟΥΣΕΙΟ,"Κλάση A",109,6076,0.00,197,01/2023
