Περιοχή,ΤΚ,"Νέες συνδέσεις","Μήνας σύνδεσης"
"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ",10434,2,01/2023
ΜΕΤΑΞΟΥΡΓΕΙΟ,10435,2,01/2023
ΜΕΤΑΞΟΥΡΓΕΙΟ,10437,4,01/2023
"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ",10441,2,01/2023
"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ",10442,1,01/2023
ΚΟΛΩΝΟΣ,10444,8,01/2023
ΘΥΜΑΡΑΚΙΑ,10445,1,01/2023
"ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ",10445,10,01/2023
"ΠΡΟΦ. ΔΑΝΙΗΛ",10447,5,01/2023
ΨΥΡΡΗ,10554,3,01/2023
ΠΛΑΚΑ,10556,2,01/2023
ΚΕΝΤΡΟ,10563,2,01/2023
ΕΞΑΡΧΕΙΑ,10678,1,01/2023
ΚΥΠΡΙΑΔΟΥ,11141,1,01/2023
ΓΑΛΑΤΣΙ,11146,1,01/2023
ΚΟΛΙΑΤΣΟΥ,11254,1,01/2023
"ΠΛΑΤΕΙΑ ΚΟΛΙΑΤΣΟΥ",11255,1,01/2023
ΚΕΦΑΛΛΗΝΙΑΣ,11257,19,01/2023
"ΝΕΑ ΚΥΨΕΛΗ",11363,4,01/2023
ΚΕΝΤΡΟ,11471,1,01/2023
ΝΕΑΠΟΛΗ,11471,2,01/2023
ΑΒΕΡΩΦ,11522,1,01/2023
ΑΜΠΕΛΟΚΗΠΟΙ,11523,1,01/2023
ΓΗΡΟΚΟΜΕΙΟ,11524,2,01/2023
"ΝΕΑ ΦΙΛΟΘΕΗ",11524,1,01/2023
ΑΘΗΝΑ,11632,1,01/2023
ΓΟΥΒΑ,11632,1,01/2023
ΠΑΓΚΡΑΤΙ,11632,1,01/2023
ΠΑΓΚΡΑΤΙ,11633,1,01/2023
ΚΟΥΚΑΚΙ,11741,1,01/2023
"ΚΥΝΟΣΑΡΓΟΥΣ ΝΕΟΣ ΚΟΣΜΟΣ",11743,1,01/2023
"ΑΓ. ΓΕΩΡΓΙΟΣ",11744,1,01/2023
"ΝΕΟΣ ΚΟΣΜΟΣ",11744,1,01/2023
ΘΗΣΕΙΟ,11851,1,01/2023
"ΚΑΤΩ ΠΕΤΡΑΛΩΝΑ",11853,1,01/2023
"ΚΑΤΩ ΠΕΤΡΑΛΩΝΑ",11854,1,01/2023
ΠΕΡΙΣΤΕΡΙ,12131,2,01/2023
"Ν. ΚΟΛΟΚΥΝΘΟΥ",12132,2,01/2023
ΠΕΡΙΣΤΕΡΙ,12132,7,01/2023
ΜΠΟΥΡΝΑΖΙ,12133,4,01/2023
ΠΕΡΙΣΤΕΡΙ,12134,4,01/2023
ΑΝΘΟΥΠΟΛΗ,12135,4,01/2023
"ΑΣΠΡΑ ΧΩΜΑΤΑ",12135,1,01/2023
ΠΕΡΙΣΤΕΡΙ,12135,2,01/2023
ΠΕΡΙΣΤΕΡΙ,12136,14,01/2023
"ΑΣΠΡΑ ΧΩΜΑΤΑ",12137,5,01/2023
ΠΕΡΙΣΤΕΡΙ,12137,1,01/2023
"ΑΓ. ΣΑΒΒΑΣ",12241,1,01/2023
"ΑΡ. ΙΕΡΑΣ ΟΔΟΥ",12241,2,01/2023
ΝΤΑΜΑΡΑΚΙΑ,12241,1,01/2023
"ΔΕΞ. ΙΕΡΑΣ ΟΔΟΥ",12242,3,01/2023
"ΔΕΞ. ΙΕΡΑΣ ΟΔΟΥ",12243,1,01/2023
ΛΙΟΥΜΗ,12243,1,01/2023
"ΑΓ. ΒΑΡΒΑΡΑ",12351,1,01/2023
"ΑΡ. ΕΛ. ΒΕΝΙΖΕΛΟΥ",12351,2,01/2023
ΙΛΙΟΝ,13121,1,01/2023
ΠΑΛΑΤΙΑΝΗ,13121,2,01/2023
ΙΛΙΟΝ,13122,2,01/2023
ΡΑΔΙΟΦΩΝΙΑ,13122,2,01/2023
ΙΛΙΟΝ,13123,4,01/2023
ΜΙΧΕΛΗ,13123,1,01/2023
ΡΑΔΙΟΦΩΝΙΑ,13123,1,01/2023
ΚΗΠΟΥΠΟΛΗ,13231,2,01/2023
ΠΕΤΡΟΥΠΟΛΗ,13231,5,01/2023
ΠΕΤΡΟΥΠΟΛΗ,13232,2,01/2023
"ΑΓ. ΝΙΚΟΛΑΟΣ",13451,3,01/2023
ΓΕΡΟΒΟΥΝΟ,13451,4,01/2023
ΚΑΜΑΤΕΡΟ,13451,1,01/2023
"Ν. ΟΛΥΜΠΙΑ",13451,1,01/2023
"ΑΓ. ΑΝΑΡΓΥΡΟΙ",13561,5,01/2023
"ΑΓ. ΑΝΑΡΓΥΡΟΙ",13562,1,01/2023
ΓΕΡΟΒΟΥΝΟ,13671,2,01/2023
ΛΥΚΟΤΡΥΠΑ,13671,4,01/2023
ΧΑΡΑΥΓΗ,13671,1,01/2023
"ΑΓ. ΑΘΑΝΑΣΙΟΣ",13672,1,01/2023
"ΑΓ. ΠΕΤΡΟΣ",13672,1,01/2023
ΝΕΑΠΟΛΗ,13672,1,01/2023
"ΠΡΟΦ. ΗΛΙΑΣ",13672,1,01/2023
ΛΑΘΕΑ,13674,1,01/2023
"ΠΑΛ. ΜΕΝΙΔΙ",13674,11,01/2023
"ΑΓ. ΠΕΤΡΟΣ",13675,2,01/2023
ΝΕΑΠΟΛΗ,13675,3,01/2023
ΘΡΑΚΟΜΑΚΕΔΟΝΕΣ,13676,4,01/2023
"ΜΕΓ. ΣΧΙΝΑ",13679,5,01/2023
ΜΠΟΣΚΙΖΑ,13679,2,01/2023
ΠΑΝΟΡΑΜΑ,13679,1,01/2023
ΗΡΑΚΛΕΙΟ,14121,1,01/2023
"ΝΕΟ ΗΡΑΚΛΕΙΟ",14121,1,01/2023
ΗΡΑΚΛΕΙΟ,14122,6,01/2023
"ΝΕΟ ΗΡΑΚΛΕΙΟ",14122,1,01/2023
ΠΕΡΙΣΣΟΣ,14232,2,01/2023
ΝΕΑΠΟΛΗ,14233,2,01/2023
ΣΑΦΡΑΜΠΟΛΙΣ,14233,6,01/2023
ΚΑΛΟΓΡΕΖΑ,14234,1,01/2023
"ΝΕΑ ΙΩΝΙΑ",14234,2,01/2023
ΑΛΣΟΥΠΟΛΗ,14235,12,01/2023
ΜΕΤΑΜΟΡΦΩΣΗ,14451,1,01/2023
ΜΕΤΑΜΟΡΦΩΣΗ,14452,13,01/2023
ΑΛΩΝΙΑ,14562,3,01/2023
ΑΔΑΜΕΣ,14564,1,01/2023
ΠΕΥΚΗ,15121,4,01/2023
ΜΑΡΟΥΣΙ,15124,3,01/2023
ΜΑΡΟΥΣΙ,15125,2,01/2023
ΠΑΡΑΔΕΙΣΟΣ,15125,1,01/2023
ΜΑΡΟΥΣΙ,15126,1,01/2023
"ΣΤΟΥΝΤΙΟ ΑΛΦΑ",15126,1,01/2023
ΜΕΛΙΣΣΙΑ,15127,1,01/2023
ΧΑΛΑΝΔΡΙ,15231,1,01/2023
ΧΑΛΑΝΔΡΙ,15232,8,01/2023
ΠΟΛΥΔΡΟΣΟ,15233,1,01/2023
ΧΑΛΑΝΔΡΙ,15233,31,01/2023
ΧΑΛΑΝΔΡΙ,15234,8,01/2023
"ΝΕΑ ΠΕΝΤΕΛΗ",15236,1,01/2023
ΠΕΝΤΕΛΗ,15236,1,01/2023
ΦΙΛΟΘΕΗ,15237,2,01/2023
ΠΑΤΗΜΑ,15238,2,01/2023
"ΑΓ. ΠΑΡΑΣΚΕΥΗ",15341,1,01/2023
"ΝΕΑ ΖΩΗ",15341,3,01/2023
"ΑΓ. ΠΑΡΑΣΚΕΥΗ",15342,1,01/2023
ΠΕΥΚΑΚΙΑ,15343,2,01/2023
ΠΑΛΛΗΝΗ,15351,15,01/2023
"ΓΛΥΚΑ ΝΕΡΑ",15354,1,01/2023
"ΝΕΟ ΨΥΧΙΚΟ",15451,1,01/2023
ΨΥΧΙΚΟ,15452,3,01/2023
ΧΟΛΑΡΓΟΣ,15561,1,01/2023
ΧΟΛΑΡΓΟΣ,15562,1,01/2023
ΠΑΠΑΓΟΣ,15669,7,01/2023
ΖΩΓΡΑΦΟΥ,15771,1,01/2023
ΖΩΓΡΑΦΟΥ,15772,6,01/2023
ΖΩΓΡΑΦΟΥ,15773,3,01/2023
ΜΕΤΑΜΟΡΦΩΣΗ,16232,1,01/2023
ΚΑΡΕΑΣ,16233,1,01/2023
ΗΛΙΟΥΠΟΛΗ,16341,2,01/2023
ΑΣΤΥΝΟΜΙΚΑ,16342,4,01/2023
"ΑΓ. ΜΑΡΙΝΑ",16343,7,01/2023
"ΑΓ. ΜΑΡΙΝΑ",16344,1,01/2023
ΗΛΙΟΥΠΟΛΗ,16345,1,01/2023
ΚΑΝΑΡΙΑ,16345,2,01/2023
"ΑΓ. ΚΩΝΣΤΑΝΤΙΝΟΣ",16346,3,01/2023
ΗΛΙΟΥΠΟΛΗ,16346,1,01/2023
ΑΡΓΥΡΟΥΠΟΛΗ,16451,10,01/2023
ΑΡΓΥΡΟΥΠΟΛΗ,16452,6,01/2023
ΓΛΥΦΑΔΑ,16561,1,01/2023
ΤΕΡΨΙΘΕΑ,16561,4,01/2023
ΓΛΥΦΑΔΑ,16562,1,01/2023
ΑΣΥΡΜΑΤΟΣ,16672,1,01/2023
ΒΑΡΗ,16672,4,01/2023
ΒΑΡΚΙΖΑ,16672,3,01/2023
ΜΗΛΑΔΕΖΑ,16672,1,01/2023
ΒΟΥΛΑ,16673,2,01/2023
ΔΙΚΗΓΟΡΙΚΑ,16673,2,01/2023
ΚΑΛΥΜΝΙΩΝ,16673,3,01/2023
ΠΑΝΟΡΑΜΑ,16673,2,01/2023
ΓΛΥΦΑΔΑ,16674,7,01/2023
ΚΑΡΒΕΛΑΣ,16674,5,01/2023
ΤΕΡΨΙΘΕΑ,16674,2,01/2023
ΓΛΥΦΑΔΑ,16675,16,01/2023
ΕΛΛΗΝΙΚΟ,16777,2,01/2023
ΧΑΣΑΝΙ,16777,3,01/2023
"ΝΕΑ ΣΜΥΡΝΗ",17123,4,01/2023
ΔΑΦΝΗ,17234,1,01/2023
ΔΑΦΝΗ,17235,2,01/2023
"ΑΓ. ΔΗΜΗΤΡΙΟΣ",17236,1,01/2023
ΔΑΦΝΗ,17237,4,01/2023
ΥΜΗΤΤΟΣ,17237,6,01/2023
"ΑΓ. ΔΗΜΗΤΡΙΟΣ",17341,1,01/2023
ΑΣΥΡΜΑΤΟΣ,17341,6,01/2023
ΣΑΡΩΝΙΚΟΣ,17341,2,01/2023
ΑΓΡΙΛΙΟΣ,17342,1,01/2023
ΑΝΟΙΞΗ,17342,1,01/2023
"ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΗΣ",17342,1,01/2023
"ΑΓ. ΔΗΜΗΤΡΙΟΣ",17343,1,01/2023
ΑΛΙΜΟΣ,17455,1,01/2023
ΚΑΛΑΜΑΚΙ,17455,12,01/2023
ΕΚΤΕΛΩΝΙΣΤΩΝ,17456,4,01/2023
ΚΥΘΗΡΙΩΝ,17456,9,01/2023
"ΠΑΛΑΙΟ ΦΑΛΗΡΟ",17561,2,01/2023
"ΠΑΛΑΙΟ ΦΑΛΗΡΟ",17562,7,01/2023
"ΑΓ. ΒΑΡΒΑΡΑ",17563,1,01/2023
ΚΑΛΛΙΘΕΑ,17672,1,01/2023
ΚΑΛΛΙΘΕΑ,17673,1,01/2023
ΤΖΙΤΖΙΦΙΕΣ,17674,1,01/2023
"ΑΓ. ΕΛΕΟΥΣΑ",17675,1,01/2023
ΤΖΙΤΖΙΦΙΕΣ,17675,2,01/2023
ΤΑΥΡΟΣ,17778,1,01/2023
ΚΟΡΥΔΑΛΛΟΣ,18120,2,01/2023
"ΠΛΑΤΕΙΑ ΕΛΕΥΘΕΡΙΑΣ",18120,2,01/2023
"ΑΝΩ ΚΟΡΥΔΑΛΛΟΣ",18121,4,01/2023
"Γ ΝΕΚΡΟΤΑΦΕΙΟ",18121,3,01/2023
"ΑΝΩ ΚΟΡΥΔΑΛΛΟΣ",18122,3,01/2023
ΣΧΙΣΤΟ,18122,2,01/2023
"ΑΓ. Ι. ΡΕΝΤΗΣ",18233,5,01/2023
"Π. ΚΟΚΚΙΝΙΑ",18233,3,01/2023
ΜΕΤΑΜΟΡΦΩΣΗ,18344,4,01/2023
ΠΑΡΑΛΙΑ,18344,7,01/2023
ΜΕΤΑΜΟΡΦΩΣΗ,18345,1,01/2023
ΠΑΡΑΛΙΑ,18345,1,01/2023
ΑΡΜΕΝΙΚΑ,18450,1,01/2023
"ΟΣΙΑ ΞΕΝΗ",18450,1,01/2023
ΓΗΠΕΔΟ,18451,1,01/2023
ΝΕΑΠΟΛΗ,18452,7,01/2023
"ΑΓ. ΓΕΩΡΓΙΟΣ",18453,1,01/2023
"ΟΣΙΑ ΞΕΝΗ",18453,2,01/2023
"Π. ΚΟΚΚΙΝΙΑ",18454,1,01/2023
"ΛΑΚΚΑ ΒΑΒΟΥΛΑ",18532,1,01/2023
ΒΡΥΩΝΗ,18537,1,01/2023
ΦΡΕΑΤΤΥΔΑ,18537,1,01/2023
ΒΡΥΩΝΗ,18538,1,01/2023
ΧΑΤΖΗΚΥΡΙΑΚΕΙΟ,18538,1,01/2023
ΚΑΜΙΝΙΑ,18540,1,01/2023
ΑΠΟΛΛΩΝ,18541,1,01/2023
ΚΑΜΙΝΙΑ,18541,3,01/2023
ΚΑΡΑΒΑΣ,18543,1,01/2023
ΜΑΝΙΑΤΙΚΑ,18544,8,01/2023
"ΑΓ. ΣΟΦΙΑ",18545,19,01/2023
"ΝΕΟ ΦΑΛΗΡΟ",18547,1,01/2023
ΔΡΑΠΕΤΣΩΝΑ,18648,2,01/2023
ΚΟΠΗ,18755,1,01/2023
ΧΑΡΑΥΓΗ,18755,1,01/2023
"ΑΓ. ΑΝΤΩΝΙΟΣ",18757,1,01/2023
ΑΜΦΙΑΛΗ,18757,1,01/2023
ΚΟΚΚΙΝΟΒΡΑΧΟΣ,18757,1,01/2023
"ΑΓ. ΑΝΤΩΝΙΟΣ",18758,2,01/2023
ΑΜΦΙΑΛΗ,18758,1,01/2023
ΠΑΠΑΔΟΠΟΥΛΟΥ,18863,1,01/2023
"ΠΡΟΦ. ΗΛΙΑΣ",18863,2,01/2023
"ΑΓ. ΧΑΡΑΛΑΜΠΟΣ",18900,1,01/2023
ΜΠΟΣΧΟΥ,18900,1,01/2023
ΠΑΤΡΙΣ,18900,1,01/2023
ΤΣΑΜΗ,18900,2,01/2023
ΑΙΑΝΤΕΙΟ,18903,1,01/2023
"ΑΙΑΝΤΕΙΟ ΜΑΙΝΕΜΕΝΗ",18903,1,01/2023
ΚΑΤΣΟΥΛΗ,18903,1,01/2023
ΕΛΕΥΣΙΝΑ,19200,2,01/2023
ΑΣΠΡΟΠΥΡΓΟΣ,19300,3,01/2023
ΝΕΟΚΤΙΣΤΑ,19300,1,01/2023
"ΤΡΥΠΑ ΑΛΕΠΟΥ (Θ. 14)",19300,1,01/2023
"ΑΓ. ΑΝΑΡΓΥΡΟΙ",13561,7,01/2024
"ΑΓ. ΑΝΤΩΝΙΟΣ",18757,2,01/2024
"ΑΓ. ΑΝΤΩΝΙΟΣ",18758,1,01/2024
"ΑΓ. ΒΑΡΒΑΡΑ",17235,2,01/2024
"ΑΓ. ΒΑΣΙΛΕΙΟΣ",18537,5,01/2024
"ΑΓ. ΓΕΩΡΓΙΟΣ",11744,2,01/2024
"ΑΓ. ΓΕΩΡΓΙΟΣ",18756,2,01/2024
"ΑΓ. ΓΡΗΓΟΡΟΥΣΑ",12461,3,01/2024
"ΑΓ. ΔΗΜΗΤΡΙΟΣ",17343,11,01/2024
"ΑΓ. ΘΩΜΑΣ",15124,1,01/2024
"ΑΓ. ΙΕΡΟΘΕΟΣ",12137,4,01/2024
"ΑΓ. ΚΩΝΣΤΑΝΤΙΝΟΣ",16346,6,01/2024
"ΑΓ. ΜΑΡΙΝΑ",16343,1,01/2024
"ΑΓ. ΜΑΡΙΝΑ",16344,1,01/2024
"ΑΓ. ΜΑΡΙΝΑ",16345,1,01/2024
"ΑΓ. ΜΗΝΑΣ",18758,1,01/2024
"ΑΓ. ΜΗΝΑΣ",18900,2,01/2024
"ΑΓ. ΝΙΚΟΛΑΟΣ",13451,2,01/2024
"ΑΓ. ΝΙΚΟΛΑΟΣ",18900,2,01/2024
"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ",17456,11,01/2024
"ΑΓ. ΠΑΡΑΣΚΕΥΗ",15342,3,01/2024
"ΑΓ. ΠΕΤΡΟΣ",13675,9,01/2024
"ΑΓ. ΣΑΒΒΑΣ",12241,1,01/2024
ΑΓΡΙΛΙΟΣ,17342,3,01/2024
ΑΙΑΝΤΕΙΟ,18903,2,01/2024
"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ",10441,4,01/2024
ΑΛΩΝΙΑ,14562,3,01/2024
"ΑΜΠΕΛΑΚΙΑ ΝΕΑ ΠΟΛΙΤΕΙΑ",18902,1,01/2024
"ΑΜΠΕΛΑΚΙΑ ΟΤΕ",18902,1,01/2024
ΑΜΠΕΛΟΚΗΠΟΙ,11523,1,01/2024
ΑΜΠΕΛΟΚΗΠΟΙ,11527,1,01/2024
ΑΜΦΙΑΛΗ,18757,4,01/2024
ΑΜΦΙΘΕΑ,17563,2,01/2024
ΑΜΦΙΘΕΑ,17564,1,01/2024
ΑΝΑΓΕΝΝΗΣΗ,12243,3,01/2024
ΑΝΑΚΑΣΑ,13562,3,01/2024
ΑΝΑΛΗΨΗ,18452,10,01/2024
ΑΝΘΕΩΝ,17343,1,01/2024
ΑΝΘΟΥΠΟΛΗ,12135,1,01/2024
ΑΝΟΙΞΗ,17342,1,01/2024
ΑΝΟΙΞΗ,17343,2,01/2024
"ΑΝΩ ΚΟΡΥΔΑΛΛΟΣ",18122,2,01/2024
"ΑΝΩ ΚΥΨΕΛΗ",11364,1,01/2024
"ΑΝΩ ΛΙΟΥΜΗ",12243,1,01/2024
"ΑΝΩ ΠΑΤΗΣΙΑ",11143,1,01/2024
"ΑΝΩ ΠΕΤΡΑΛΩΝΑ",11851,12,01/2024
"ΑΝΩ ΠΕΤΡΑΛΩΝΑ",11852,1,01/2024
ΑΠΟΛΛΩΝ,18541,2,01/2024
"ΑΡ. ΕΛ. ΒΕΝΙΖΕΛΟΥ",12351,1,01/2024
"ΑΡ. ΙΕΡΑΣ ΟΔΟΥ",12241,1,01/2024
ΑΡΓΥΡΟΥΠΟΛΗ,16451,7,01/2024
ΑΡΓΥΡΟΥΠΟΛΗ,16452,2,01/2024
ΑΡΜΕΝΙΚΑ,18450,1,01/2024
"ΑΣΠΡΑ ΧΩΜΑΤΑ",12135,1,01/2024
"ΑΣΠΡΑ ΧΩΜΑΤΑ",12137,2,01/2024
"ΑΣΠΡΑ ΧΩΜΑΤΑ",18454,3,01/2024
ΑΣΠΡΟΠΥΡΓΟΣ,19300,4,01/2024
ΑΣΥΡΜΑΤΟΣ,16672,2,01/2024
ΑΣΥΡΜΑΤΟΣ,17341,2,01/2024
"ΑΥΛΩΝΑ ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ",19011,1,01/2024
ΒΑΡΗ,16672,4,01/2024
ΒΑΡΚΙΖΑ,16672,1,01/2024
ΒΛΑΧΙΚΑ,16672,3,01/2024
ΒΟΥΛΑ,16673,4,01/2024
ΒΡΟΝΤΟΥ,18900,1,01/2024
ΒΡΥΩΝΗ,18538,3,01/2024
ΒΥΡΩΝΑΣ,16232,1,01/2024
ΒΥΡΩΝΑΣ,16233,1,01/2024
ΓΑΛΑΤΣΙ,11146,10,01/2024
ΓΑΛΑΤΣΙ,11147,1,01/2024
ΓΕΡΜΑΝΙΚΑ,19300,1,01/2024
"ΓΕΡΜΑΝΙΚΟΣ ΔΡΟΜΟΣ ΒΟΡΕΙΟ",19100,1,01/2024
ΓΕΡΟΒΟΥΝΟ,13451,3,01/2024
ΓΕΡΟΒΟΥΝΟ,13671,1,01/2024
"ΓΗΠΕΔΟ-ΝΕΟ ΜΕΛΙ",19100,1,01/2024
ΓΚΑΖΟΧΩΡΙ,11854,7,01/2024
ΓΚΥΖΗ,11476,1,01/2024
"ΓΛΥΚΑ ΝΕΡΑ",15354,1,01/2024
ΓΛΥΦΑΔΑ,16562,1,01/2024
ΓΛΥΦΑΔΑ,16674,8,01/2024
ΓΛΥΦΑΔΑ,16675,1,01/2024
ΓΟΥΔΙ,11527,1,01/2024
ΔΑΣΟΣ,12462,7,01/2024
ΔΑΦΝΗ,17234,2,01/2024
ΔΑΦΝΗ,17235,1,01/2024
"ΔΕΞ. ΕΛ. ΒΕΝΙΖΕΛΟΥ",12351,5,01/2024
ΔΗΜΟΤΙΚΟ,18534,1,01/2024
ΔΙΚΗΓΟΡΙΚΑ,16673,2,01/2024
ΔΡΑΠΕΤΣΩΝΑ,18648,1,01/2024
"ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΗΣ",17342,5,01/2024
ΕΚΤΕΛΩΝΙΣΤΩΝ,17456,5,01/2024
ΕΛΕΥΣΙΝΑ,19200,2,01/2024
ΕΞΑΡΧΕΙΑ,10678,1,01/2024
ΕΞΑΡΧΕΙΑ,10681,1,01/2024
ΕΦΟΡΙΑΚΩΝ,17456,1,01/2024
ΖΕΦΥΡΙ,13461,1,01/2024
ΖΩΓΡΑΦΟΥ,15772,8,01/2024
ΗΛΙΟΥΠΟΛΗ,16341,8,01/2024
ΗΛΙΟΥΠΟΛΗ,16346,4,01/2024
ΗΡΑΚΛΕΙΟ,14121,2,01/2024
ΗΡΑΚΛΕΙΟ,14122,11,01/2024
ΘΡΑΚΟΜΑΚΕΔΟΝΕΣ,13676,3,01/2024
ΘΥΜΑΡΑΚΙΑ,10445,10,01/2024
ΙΕΡΑΠΟΛΗ,12244,1,01/2024
ΙΛΙΟΝ,13121,2,01/2024
ΙΛΙΟΝ,13122,8,01/2024
ΙΛΙΟΝ,13123,3,01/2024
ΚΑΛΑΜΑΚΙ,17455,19,01/2024
ΚΑΛΛΙΘΕΑ,17673,1,01/2024
ΚΑΛΛΙΠΟΛΗ,18539,1,01/2024
ΚΑΛΟΓΡΕΖΑ,14234,3,01/2024
ΚΑΜΑΤΕΡΟ,13451,1,01/2024
ΚΑΜΙΝΙ,16672,1,01/2024
ΚΑΜΙΝΙΑ,18541,1,01/2024
ΚΑΝΑΡΙΑ,16345,1,01/2024
ΚΑΝΤΖΑ,15351,4,01/2024
ΚΑΡΒΕΛΑΣ,16674,5,01/2024
ΚΑΣΤΕΛΛΑ,18533,1,01/2024
"ΚΑΤΩ ΠΑΤΗΣΙΑ",10445,1,01/2024
"ΚΑΤΩ ΠΑΤΗΣΙΑ",11144,1,01/2024
ΚΕΝΤΡΟ,10437,1,01/2024
ΚΕΝΤΡΟ,10554,1,01/2024
ΚΕΝΤΡΟ,10557,1,01/2024
ΚΕΝΤΡΟ,10560,4,01/2024
ΚΕΝΤΡΟ,10562,1,01/2024
ΚΕΝΤΡΟ,10563,1,01/2024
ΚΕΝΤΡΟ,18531,7,01/2024
ΚΕΝΤΡΟ,18536,2,01/2024
ΚΗΠΟΥΠΟΛΗ,13231,4,01/2024
ΚΗΦΙΣΙΑ,14561,1,01/2024
"ΚΟΚ. ΜΥΛΟΣ",14342,1,01/2024
ΚΟΛΩΝΟΣ,10444,2,01/2024
ΚΟΝΤΟΠΕΥΚΟ,15343,8,01/2024
"ΚΟΡΜΠΙ ΠΗΓΑΔΙ",16672,1,01/2024
