Ημερομηνία,Προγραμματισμένη/Έκτακτη,Διασταύρωση,Περιοχή
01/01/2023,ΕΚΤΑΚΤΗ,"Ναυαρίνου και Βελισσαρίου",ΧΟΛΑΡΓΟΣ
01/01/2023,ΕΚΤΑΚΤΗ,"Σκουφά και Κωνσταντινουπόλεως",ΑΧΑΡΝΕΣ
01/01/2023,ΕΚΤΑΚΤΗ,"Κρατίνου και Κωστή Παλαμά",ΗΛΙΟΥΠΟΛΗ
01/01/2023,ΕΚΤΑΚΤΗ,"Θράκης και Φιλαδελφείας","Ν. ΣΜΥΡΝΗ Π"
01/01/2023,ΕΚΤΑΚΤΗ,"Ιλίου και Αιόλου",ΠΕΥΚΗ
01/01/2023,ΕΚΤΑΚΤΗ,"Ηρακλείτου και Βίκτωρος Ουγκώ",ΑΧΑΡΝΕΣ
01/01/2024,ΕΚΤΑΚΤΗ,"Σωκράτους και Κων/νου Παλαιολόγου",ΚΕΡΑΤΣΙΝΙ
01/01/2024,ΕΚΤΑΚΤΗ,"Αρχιπελάγους και Σκουφά",ΠΕΤΡΟΥΠΟΛΗ
01/01/2024,ΕΚΤΑΚΤΗ,"Μεσολογγίου και Αγ.Βασιλείου","Ν. ΙΩΝΙΑ"
01/01/2024,ΕΚΤΑΚΤΗ,"Ορφέως και Χαρίτων","Π. ΦΑΛΗΡΟ"
01/01/2024,ΕΚΤΑΚΤΗ,"Πανιωνίας και Ζέππου",ΓΛΥΦΑΔΑ
01/01/2024,ΕΚΤΑΚΤΗ,"Ορφέως και Ζεφύρου","Π. ΦΑΛΗΡΟ"
01/01/2024,ΕΚΤΑΚΤΗ,"25ης Μαρτίου και Ιωαννίνων",ΚΗΦΙΣΙΑ
01/01/2025,ΕΚΤΑΚΤΗ,"Αβέρωφ και Ελαιών και Κενταύρου",ΙΛΙΟΝ
01/01/2025,ΕΚΤΑΚΤΗ,"Κρώμνης και Κωνσταντινουπόλεως",ΑΡΓΥΡΟΥΠΟΛΗ
01/01/2025,ΕΚΤΑΚΤΗ,"Μαιάνδρου και Πίνδου","Ν. ΦΙΛΑΔΕΛΦΕΙΑ"
01/01/2026,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Αγίας Φωτεινής και Θράκης","ΝΕΑ ΣΜΥΡΝΗ_1"
01/01/2026,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Κανάρη και Αναγνωσταρά",ΠΕΤΡΟΥΠΟΛΗ_3
01/01/2026,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Υακίνθου και Γρ. Κουσίδη","ΖΩΓΡΑΦΟΣ 010126"
01/01/2026,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Αύρας και Φιλαδελφέως","ΚΗΦΙΣΙΑ 010126"
01/01/2026,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Χειμάρρας και Μενάνδρου","ΝΕΑ ΠΕΡΑΜΟΣ 010126"
01/01/2026,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Πάφου και Μιχ. Βόδα","αθηνα αγιος Νικόλαος"
01/01/2026,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Πρεμετής και Εύβοιας","ΑΓΙΟΙ ΑΝΑΡΓΥΡΟΙ 010125"
01/02/2023,ΕΚΤΑΚΤΗ,"28ης Οκτωβρίου και Πλατείας Βιάννου",ΒΥΡΩΝΑΣ
01/02/2023,ΕΚΤΑΚΤΗ,"Κασσιανής και Βασιλείου Μακεδόνος",ΙΛΙΟΝ
01/02/2023,ΕΚΤΑΚΤΗ,"Νάξου και Καποδιστρίου",ΠΕΥΚΗ
01/02/2023,ΕΚΤΑΚΤΗ,"Μυρτιάς και Κουμουνδούρου","ΑΓ. ΠΑΡΑΣΚΕΥΗ"
01/02/2023,ΕΚΤΑΚΤΗ,"Γεωργίου Παπανδρέου και Δημητρίου Μπέη",ΖΩΓΡΑΦΟΣ
01/02/2023,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Φιλιππίδη & Γεωργίου Μπάκου",ΑΘΗΝΑ
01/02/2023,ΕΚΤΑΚΤΗ,"Άστρους και Πύλου",ΑΘΗΝΑ
01/02/2023,ΕΚΤΑΚΤΗ,"Απόλλωνος και Αγίας Ελένης",ΑΣΠΡΟΠΥΡΓΟΣ
01/02/2023,ΕΚΤΑΚΤΗ,"Αίνου και Αθανασίου Δίακου",ΝΙΚΑΙΑ
01/02/2023,ΕΚΤΑΚΤΗ,"Ασκληπιού και Φλέμινγκ",ΠΑΛΛΗΝΗ
01/02/2023,ΕΚΤΑΚΤΗ,"Λητούς και Απόλλωνος",ΒΟΥΛΙΑΓΜΕΝΗ
01/02/2023,ΕΚΤΑΚΤΗ,"Αριστοτέλους και Μεννίπου",ΧΟΛΑΡΓΟΣ
01/02/2023,ΕΚΤΑΚΤΗ,"1η και Ζήτα",ΕΛΛΗΝΙΚΟ
01/02/2023,ΕΚΤΑΚΤΗ,"Αγίου Σύλλα και Θεσσαλίας","Ν. ΠΕΝΤΕΛΗ"
01/02/2023,ΕΚΤΑΚΤΗ,"Τζουμαγιάς και Υψηλάντου",ΠΕΡΙΣΤΕΡΙ
01/02/2023,ΕΚΤΑΚΤΗ,"Αγγελόπουλου και Αγίου Ιωάννου Προδρόμου",ΑΣΠΡΟΠΥΡΓΟΣ
01/02/2023,ΕΚΤΑΚΤΗ,"Αριστοτέλους και Αναλήψεως",ΔΡΑΠΕΤΣΩΝΑ
01/02/2023,ΕΚΤΑΚΤΗ,"Λεωφόρος Σχιστού Σκαραμαγκα 10",ΣΚΑΡΑΜΑΓΚΑΣ
01/02/2023,ΕΚΤΑΚΤΗ,"Υψηλάντου και Τσαμαδού",ΠΕΙΡΑΙΑΣ
01/02/2023,ΕΚΤΑΚΤΗ,"Αγίας Μαρίνης και Τραπεζούντος",ΑΣΠΡΟΠΥΡΓΟΣ
01/02/2023,ΕΚΤΑΚΤΗ,"Προποντίδος και Αρχιπελάγους(ΤΕΡΨΙΘΕΑ)",ΓΛΥΦΑΔΑ
01/02/2024,ΕΚΤΑΚΤΗ,"Αλέκου Παναγούλη και Δενιζλή","Ν. ΙΩΝΙΑ"
01/02/2024,ΕΚΤΑΚΤΗ,"Πιττακού και Σαπφούς",ΜΑΡΟΥΣΙ
01/02/2024,ΕΚΤΑΚΤΗ,"Λεωφ. Δημοκρατίας και Κομνηνών",ΚΕΡΑΤΣΙΝΙ
01/02/2024,ΕΚΤΑΚΤΗ,"Αισχύλου και Κ. Βάρναλη",ΑΙΓΑΛΕΩ
01/02/2024,ΕΚΤΑΚΤΗ,"Κοδρικτώνος και Αχαρνών","ΑΓ. ΠΑΝΤΕΛΕΗΜΟΝΑΣ"
01/02/2024,ΕΚΤΑΚΤΗ,"Λεωφ. Σαλαμινομάχων και Αλκυόνης",ΠΑΛΟΥΚΙΑ
01/02/2024,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Δανάης και Μούντε Μ.",ΧΑΛΑΝΔΡΙ
01/02/2024,ΕΚΤΑΚΤΗ,"Κατσουλάκου και Επονιτών",ΠΕΙΡΑΙΑΣ
01/02/2024,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Θερμοπυλών και Αριστοτέλους",ΜΟΣΧΑΤΟ
01/02/2024,ΕΚΤΑΚΤΗ,"Πεντέλης Λεωφ. και Μεσσηνίας",ΧΑΛΑΝΔΡΙ
01/02/2024,ΕΚΤΑΚΤΗ,"3ης Σεπτεμβρίου και Γκυϊλφόρδου","ΠΛ. ΒΙΚΤΩΡΙΑΣ"
01/02/2024,ΕΚΤΑΚΤΗ,"Τόρβα και Ευρυδάμαντος",ΑΘΗΝΑ
01/02/2024,ΕΚΤΑΚΤΗ,"Αισχύλου και Κιλκίς",ΝΙΚΑΙΑ
01/02/2024,ΕΚΤΑΚΤΗ,"Ούλωφ Πάλμε και Αγ. Πολυκάρπου",ΚΑΙΣΑΡΙΑΝΗ
01/02/2024,ΕΚΤΑΚΤΗ,"Σαρωνικού και Σπάρτης",ΚΑΛΛΙΘΕΑ
01/02/2024,ΕΚΤΑΚΤΗ,"Βρυούλων και Ν. Τρύπια","Ν. ΦΙΛΑΔΕΛΦΕΙΑ"
01/02/2025,ΕΚΤΑΚΤΗ,"Αντύπα και Φιλοθέης",ΗΡΑΚΛΕΙΟ
01/02/2025,ΕΚΤΑΚΤΗ,"Βασ. Αλεξάνδρου και Μάρκου Μπότσαρη","Ν. ΦΙΛΑΔΕΛΦΕΙΑ"
01/02/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Βίαντος και Σεβαστείας","Ν. ΣΜΥΡΝΗ Π"
01/02/2025,ΕΚΤΑΚΤΗ,"Επιδαύρου και Ημαθίας",ΑΧΑΡΝΕΣ
01/02/2025,ΕΚΤΑΚΤΗ,"Ευβοίας και Τσιτούρη","ΚΑΤΩ ΧΑΛΑΝΔΡΙ"
01/02/2025,ΕΚΤΑΚΤΗ,"Καλαβρύτων και Επτανήσου","ΑΓ. ΒΑΡΒΑΡΑ"
01/02/2025,ΕΚΤΑΚΤΗ,"Κερασούντος και Προύσης",ΒΥΡΩΝΑΣ
01/02/2025,ΕΚΤΑΚΤΗ,"Κοραή και Διάκου",ΒΑΡΗ
01/02/2025,ΕΚΤΑΚΤΗ,"Κρήτης και Νιόβης",ΜΕΤΑΜΟΡΦΩΣΗ
01/02/2025,ΕΚΤΑΚΤΗ,"Λεωφ.Δημοκρατίας και Ολυμπιονικών","Ν. ΨΥΧΙΚΟ"
01/02/2025,ΕΚΤΑΚΤΗ,"Πανός και Ανδριτσαίνης",ΓΑΛΑΤΣΙ
01/02/2025,ΕΚΤΑΚΤΗ,"Περικλέους και Αγγ. Σικελιανού","Ν. ΨΥΧΙΚΟ"
01/02/2025,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Πεταλά και Τσούντα","Ν. ΧΑΛΚΗΔΟΝΑ"
01/02/2025,ΕΚΤΑΚΤΗ,"Σούκα και Νηφάκου",ΑΘΗΝΑ
01/02/2025,ΕΚΤΑΚΤΗ,"Σοφούλη και Σολομωνίδου","Ν. ΣΜΥΡΝΗ Π"
01/02/2025,ΕΚΤΑΚΤΗ,"Τσιτσάνη και Μάντζαρου",ΒΑΡΗ
01/03/2023,ΕΚΤΑΚΤΗ,"Νικολάου Ιωάννου και Παπαχριστοφόρου",ΑΘΗΝΑ
01/03/2023,ΕΚΤΑΚΤΗ,"Σόλωνος και Κέκροπος",ΚΑΛΛΙΘΕΑ
01/03/2023,ΕΚΤΑΚΤΗ,"Αχαΐας και Τσαγκαράδας",ΑΘΗΝΑ
01/03/2023,ΕΚΤΑΚΤΗ,"Φιλομήλας και Ζεύξιδος",ΔΑΦΝΗ
01/03/2023,ΕΚΤΑΚΤΗ,"Λεωφόρος Μεσογείων και Αναστάσεως",ΧΟΛΑΡΓΟΣ
01/03/2023,ΕΚΤΑΚΤΗ,"Πανσέληνου και Παλιγγενεσίας",ΑΣΠΡΟΠΥΡΓΟΣ
01/03/2023,ΕΚΤΑΚΤΗ,"Θράκης και Σολωμού",ΠΕΤΡΟΥΠΟΛΗ
01/03/2023,ΕΚΤΑΚΤΗ,"Δημοσθένους και Δεκέλειας",ΑΧΑΡΝΕΣ
01/03/2023,ΕΚΤΑΚΤΗ,"Κούρων και Αινείου",ΑΣΠΡΟΠΥΡΓΟΣ
01/03/2023,ΕΚΤΑΚΤΗ,"Πάτμου και Σερίφου",ΑΘΗΝΑ
01/03/2023,ΕΚΤΑΚΤΗ,"Ζαχαρίτσα και Μάρκου Μπότσαρη",ΑΘΗΝΑ
01/03/2023,ΕΚΤΑΚΤΗ,"Θρακομακεδόνων και Ιωάννη Πολέμη",ΑΧΑΡΝΕΣ
01/03/2023,ΕΚΤΑΚΤΗ,"Λεωφόρος Δημοκρατίας και Λοχαγού Ευστρατιάδου",ΨΥΧΙΚΟ
01/03/2023,ΕΚΤΑΚΤΗ,"Άννινου και Αντισμήναρχου Μουλόπουλου",ΑΛΙΜΟΣ
01/03/2023,ΕΚΤΑΚΤΗ,"Ερμιονίδων και Λασκάρεως",ΠΕΡΙΣΤΕΡΙ
01/03/2024,ΕΚΤΑΚΤΗ,"Λιβύης και Λευκωσίας",ΓΛΥΦΑΔΑ
01/03/2024,ΕΚΤΑΚΤΗ,"ΔοΪράνης και Καποδιστρίου",ΦΙΛΟΘΕΗ
01/03/2024,ΕΚΤΑΚΤΗ,"Βάκχου και Μενελάου",ΗΡΑΚΛΕΙΟ
01/03/2024,ΕΚΤΑΚΤΗ,"Μυρσίνης και Καραμανλή Κων.",ΣΑΛΑΜΙΝΑ
01/03/2024,ΕΚΤΑΚΤΗ,"Αιαντείου και Μαραθώνος",ΣΑΛΑΜΙΝΑ
01/03/2024,ΕΚΤΑΚΤΗ,"Τσιτσάνη Β. και Κωνσταντινουπόλεως",ΑΧΑΡΝΕΣ
01/03/2024,ΕΚΤΑΚΤΗ,"Ακτή Σαλαμινομάχων και Ακτή Σαλαμινομάχων 13 Πάροδος",ΠΑΛΟΥΚΙΑ
01/03/2024,ΕΚΤΑΚΤΗ,"Μιλτιάδου και Δαρδανελλίων",ΚΑΜΑΤΕΡΟ
01/03/2024,ΕΚΤΑΚΤΗ,"Αιάντειο και Ναυπλίου",ΑΙΑΝΤΕΙΟ
01/03/2024,ΕΚΤΑΚΤΗ,"Παρνασσίδος και Κρήτης",ΧΑΛΑΝΔΡΙ
01/03/2024,ΕΚΤΑΚΤΗ,"Πετροπουλάκη Α. και Ζυμπρακάκη",ΑΘΗΝΑ
01/03/2024,ΕΚΤΑΚΤΗ,"Γιασεμιών και Ζουμπουλιών",ΑΧΑΡΝΕΣ
01/03/2024,ΕΚΤΑΚΤΗ,"Βριλησσού και Γεωργαλά",ΑΘΗΝΑ
01/03/2024,ΕΚΤΑΚΤΗ,"Λεωφόρος Δημοκρατίας και Θέτιδος",ΣΑΛΑΜΙΝΑ
01/03/2025,ΕΚΤΑΚΤΗ,"Δοϊράνης και Ελληνικού Στρατού",ΦΙΛΟΘΕΗ
01/03/2025,ΕΚΤΑΚΤΗ,"Ηλία Βενέζη και Λεωνίδου",ΑΧΑΡΝΕΣ
01/03/2025,ΕΚΤΑΚΤΗ,"Κερκύρας και Ψυχάρη",ΜΕΤΑΜΟΡΦΩΣΗ
01/03/2025,ΕΚΤΑΚΤΗ,"Ναρκίσσων και Αγάπης",ΗΡΑΚΛΕΙΟ
01/03/2025,ΕΚΤΑΚΤΗ,"Παπανικολάου Γ. και Καλλιστράτους",ΖΩΓΡΑΦΟΣ
01/03/2025,ΕΚΤΑΚΤΗ,"Ραιδεστού και Βυζαντίου","Ν. ΣΜΥΡΝΗ Π"
01/03/2025,ΕΚΤΑΚΤΗ,"Ροδόπης και Μακεδονομάχων",ΘΡΑΚΟΜΑΚΕΔΟΝΕΣ
01/03/2025,ΕΚΤΑΚΤΗ,"Σερρών και Αγίας Βαρβάρας",ΧΑΛΑΝΔΡΙ
01/04/2023,ΕΚΤΑΚΤΗ,"Λεωφ.Δημοκρατίας 43 και Κολοκοτρώνη",ΑΣΠΡΟΠΥΡΓΟΣ
01/04/2023,ΕΚΤΑΚΤΗ,"Αγ.Ιωάννου Προδρόμου και Αχαρνών",ΑΣΠΡΟΠΥΡΓΟΣ
01/04/2023,ΕΚΤΑΚΤΗ,"Παλάσκα και Λεωφ.Σχιστού-Σκαραμαγκά",ΣΚΑΡΑΜΑΓΚΑΣ
01/04/2023,ΕΚΤΑΚΤΗ,"Ανδρέα Συγγρού και Καποδιστρίου",ΑΣΠΡΟΠΥΡΓΟΣ
01/04/2023,ΕΚΤΑΚΤΗ,"Εθ. Αντιστάσεως και Κόδρου","ΚΑΤΩ ΧΑΛΑΝΔΡΙ"
01/04/2023,ΕΚΤΑΚΤΗ,"Μακεδονίας και Γαλιλαίου",ΚΕΡΑΤΣΙΝΙ
01/04/2023,ΕΚΤΑΚΤΗ,"Καλαβρύτων και Μαλεβιζίου","ΛΟΦΟΣ ΑΞΙΩΜΑΤΙΚΩΝ"
01/04/2023,ΕΚΤΑΚΤΗ,"Ρετσίνα και Καλαβρύτων",ΠΕΙΡΑΙΑΣ
01/04/2023,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Νιρβάνα και Λιοσίων, επηρεάζεται και μέρος Δημου ΝΕΑΣ ΧΑΛΚΗΔΟΝΑΣ",ΑΘΗΝΑ
01/04/2023,ΕΚΤΑΚΤΗ,"Δωρίδος και Μενίππου",ΧΟΛΑΡΓΟΣ
01/04/2023,ΕΚΤΑΚΤΗ,"Αττάλου 70 και Αριστείδου",ΚΑΜΑΤΕΡΟ
01/04/2023,ΕΚΤΑΚΤΗ,"Ηρών Πολυτεχνείου και Λάμπρου Κατσώνη",ΑΣΠΡΟΠΥΡΓΟΣ
01/04/2023,ΕΚΤΑΚΤΗ,"Αίνου και Φιλικής Εταιρείας","Ν. ΣΜΥΡΝΗ Α"
01/04/2023,ΕΚΤΑΚΤΗ,"Σοφοκλή Πέππα και Πτολεμαϊδος",ΑΧΑΡΝΕΣ
01/04/2024,ΕΚΤΑΚΤΗ,"Αγίας Λαύρας και Αμισού",ΚΕΡΑΤΣΙΝΙ
01/04/2024,ΕΚΤΑΚΤΗ,"Ουρανού και Κενταύρων",ΒΟΥΛΙΑΓΜΕΝΗ
01/04/2024,ΕΚΤΑΚΤΗ,"Χειμάρρας και Φλέμινγκ",ΑΛΙΜΟΣ
01/04/2024,ΕΚΤΑΚΤΗ,"Σπ.Βρεττού και Δαμιανού",ΑΧΑΡΝΕΣ
01/04/2024,ΕΚΤΑΚΤΗ,"3ης και Βήτα",ΕΛΛΗΝΙΚΟ
01/04/2024,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Αισχίνου και Φυλής",ΑΣΠΡΟΠΥΡΓΟΣ
01/04/2024,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Περσεφόνης και Πόντου",ΑΣΠΡΟΠΥΡΓΟΣ
01/04/2024,ΕΚΤΑΚΤΗ,"Τζαβέλλα και Δωριέων",ΠΕΡΙΣΤΕΡΙ
01/04/2024,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Λεωφόρος Αιαντείου και Φωτομάρα",ΑΙΑΝΤΕΙΟ
01/04/2024,ΕΚΤΑΚΤΗ,"Γρηγορίου Αυξεντίου και Μαράτου",ΖΩΓΡΑΦΟΣ
01/04/2024,ΕΚΤΑΚΤΗ,"Μεγάλου Αλεξάνδρου και Σύρου","ΑΓ. ΑΝΑΡΓΥΡΟΙ"
01/04/2024,ΕΚΤΑΚΤΗ,"Ηρώων Πολυτεχνείου και Δήμητρος",ΕΛΕΥΣΙΝΑ
01/04/2024,ΕΚΤΑΚΤΗ,"Αχαϊας και Κρήτης",ΗΛΙΟΥΠΟΛΗ
01/04/2024,ΕΚΤΑΚΤΗ,"Αργοναυτών και Κυρήνειας",ΑΧΑΡΝΕΣ
01/04/2024,ΕΚΤΑΚΤΗ,"Παπαφλέσσα και Διάκου Αθ.",ΔΑΦΝΗ
