Ημερομηνία,Διυλιστήριο,Τιμή
01/01/2023,Kiourka,70426
01/01/2023,Aspropirgos,110500
01/01/2023,Galatsi,284697
01/01/2023,Menidi,435441
02/01/2023,Menidi,460090
02/01/2023,Galatsi,293686
02/01/2023,Aspropirgos,113580
02/01/2023,Kiourka,72129
03/01/2023,Kiourka,70077
03/01/2023,Aspropirgos,114100
03/01/2023,Galatsi,291521
03/01/2023,Menidi,465339
04/01/2023,Menidi,477938
04/01/2023,Galatsi,297742
04/01/2023,Aspropirgos,115090
04/01/2023,Kiourka,70288
05/01/2023,Kiourka,70994
05/01/2023,Aspropirgos,116220
05/01/2023,Galatsi,293300
05/01/2023,Menidi,487997
06/01/2023,Menidi,454279
06/01/2023,Galatsi,288820
06/01/2023,Aspropirgos,111380
06/01/2023,Kiourka,71167
07/01/2023,Kiourka,72238
07/01/2023,Aspropirgos,114880
07/01/2023,Galatsi,291611
07/01/2023,Menidi,455951
08/01/2023,Menidi,465880
08/01/2023,Galatsi,295547
08/01/2023,Aspropirgos,116600
08/01/2023,Kiourka,73596
09/01/2023,Kiourka,71544
09/01/2023,Aspropirgos,116520
09/01/2023,Galatsi,300925
09/01/2023,Menidi,479367
10/01/2023,Menidi,458736
10/01/2023,Galatsi,294324
10/01/2023,Aspropirgos,113080
10/01/2023,Kiourka,69676
11/01/2023,Kiourka,70294
11/01/2023,Aspropirgos,114750
11/01/2023,Galatsi,302388
11/01/2023,Menidi,458181
12/01/2023,Menidi,459855
12/01/2023,Galatsi,297736
12/01/2023,Aspropirgos,113510
12/01/2023,Kiourka,70317
13/01/2023,Kiourka,71549
13/01/2023,Aspropirgos,113500
13/01/2023,Galatsi,296746
13/01/2023,Menidi,461801
14/01/2023,Menidi,472945
14/01/2023,Galatsi,303403
14/01/2023,Aspropirgos,117570
14/01/2023,Kiourka,73415
15/01/2023,Kiourka,72681
15/01/2023,Aspropirgos,115080
15/01/2023,Galatsi,298298
15/01/2023,Menidi,455860
16/01/2023,Menidi,457687
16/01/2023,Galatsi,295836
16/01/2023,Aspropirgos,117680
16/01/2023,Kiourka,71892
17/01/2023,Kiourka,71482
17/01/2023,Aspropirgos,114240
17/01/2023,Galatsi,298358
17/01/2023,Menidi,457859
18/01/2023,Menidi,470968
18/01/2023,Galatsi,299131
18/01/2023,Aspropirgos,116940
18/01/2023,Kiourka,70117
19/01/2023,Kiourka,75351
19/01/2023,Aspropirgos,117730
19/01/2023,Galatsi,298644
19/01/2023,Menidi,492897
20/01/2023,Menidi,456426
20/01/2023,Galatsi,293165
20/01/2023,Aspropirgos,113110
20/01/2023,Kiourka,71027
21/01/2023,Kiourka,72077
21/01/2023,Aspropirgos,115670
21/01/2023,Galatsi,298943
21/01/2023,Menidi,481189
22/01/2023,Menidi,463489
22/01/2023,Galatsi,298293
22/01/2023,Aspropirgos,116420
22/01/2023,Kiourka,69923
23/01/2023,Kiourka,71216
23/01/2023,Aspropirgos,117900
23/01/2023,Galatsi,285746
23/01/2023,Menidi,463301
24/01/2023,Menidi,475419
24/01/2023,Galatsi,309504
24/01/2023,Aspropirgos,114910
24/01/2023,Kiourka,74105
25/01/2023,Kiourka,70050
25/01/2023,Aspropirgos,111120
25/01/2023,Galatsi,292882
25/01/2023,Menidi,460553
26/01/2023,Menidi,433885
26/01/2023,Galatsi,288564
26/01/2023,Aspropirgos,108160
26/01/2023,Kiourka,71372
27/01/2023,Kiourka,72086
27/01/2023,Aspropirgos,110440
27/01/2023,Galatsi,294599
27/01/2023,Menidi,463820
28/01/2023,Menidi,469659
28/01/2023,Galatsi,289741
28/01/2023,Aspropirgos,114910
28/01/2023,Kiourka,71818
29/01/2023,Kiourka,71577
29/01/2023,Aspropirgos,113300
29/01/2023,Galatsi,309178
29/01/2023,Menidi,451253
30/01/2023,Menidi,472294
30/01/2023,Galatsi,296977
30/01/2023,Aspropirgos,112750
30/01/2023,Kiourka,70183
31/01/2023,Kiourka,69716
31/01/2023,Aspropirgos,106580
31/01/2023,Galatsi,292481
31/01/2023,Menidi,457027
01/02/2023,Menidi,460079
01/02/2023,Galatsi,297077
01/02/2023,Kiourka,68027
01/02/2023,Aspropirgos,119720
02/02/2023,Aspropirgos,119010
02/02/2023,Kiourka,62772
02/02/2023,Galatsi,298897
02/02/2023,Menidi,473167
03/02/2023,Menidi,463086
03/02/2023,Galatsi,295373
03/02/2023,Kiourka,69662
03/02/2023,Aspropirgos,115520
04/02/2023,Aspropirgos,118800
04/02/2023,Kiourka,70376
04/02/2023,Galatsi,300173
04/02/2023,Menidi,465380
05/02/2023,Menidi,429449
05/02/2023,Galatsi,286690
05/02/2023,Kiourka,71475
05/02/2023,Aspropirgos,111880
06/02/2023,Aspropirgos,115260
06/02/2023,Kiourka,71679
06/02/2023,Galatsi,292306
06/02/2023,Menidi,456367
07/02/2023,Menidi,448554
07/02/2023,Galatsi,291285
07/02/2023,Kiourka,70821
07/02/2023,Aspropirgos,114490
08/02/2023,Aspropirgos,119010
08/02/2023,Kiourka,70899
08/02/2023,Galatsi,297372
08/02/2023,Menidi,462046
09/02/2023,Menidi,466212
09/02/2023,Galatsi,298491
09/02/2023,Kiourka,69713
09/02/2023,Aspropirgos,116200
10/02/2023,Aspropirgos,118640
10/02/2023,Kiourka,68649
10/02/2023,Galatsi,287796
10/02/2023,Menidi,474735
11/02/2023,Menidi,486482
11/02/2023,Galatsi,324840
11/02/2023,Kiourka,75187
11/02/2023,Aspropirgos,119210
12/02/2023,Aspropirgos,119420
12/02/2023,Kiourka,73001
12/02/2023,Galatsi,310354
12/02/2023,Menidi,480475
13/02/2023,Menidi,477497
13/02/2023,Galatsi,305526
13/02/2023,Kiourka,71435
13/02/2023,Aspropirgos,117640
14/02/2023,Aspropirgos,116730
14/02/2023,Kiourka,71893
14/02/2023,Galatsi,304199
14/02/2023,Menidi,474192
15/02/2023,Menidi,457229
15/02/2023,Galatsi,298096
15/02/2023,Kiourka,71011
15/02/2023,Aspropirgos,114820
16/02/2023,Aspropirgos,117080
16/02/2023,Kiourka,70119
16/02/2023,Galatsi,303449
16/02/2023,Menidi,484329
17/02/2023,Menidi,527824
17/02/2023,Galatsi,304428
17/02/2023,Kiourka,72480
17/02/2023,Aspropirgos,116140
18/02/2023,Aspropirgos,122640
18/02/2023,Kiourka,71583
18/02/2023,Galatsi,311676
18/02/2023,Menidi,462028
19/02/2023,Menidi,488229
19/02/2023,Galatsi,304247
19/02/2023,Kiourka,77388
19/02/2023,Aspropirgos,117980
20/02/2023,Aspropirgos,117230
20/02/2023,Kiourka,73039
20/02/2023,Galatsi,314607
20/02/2023,Menidi,483424
21/02/2023,Menidi,442905
21/02/2023,Galatsi,348337
21/02/2023,Kiourka,72879
21/02/2023,Aspropirgos,116850
22/02/2023,Aspropirgos,118060
22/02/2023,Kiourka,73104
22/02/2023,Menidi,442568
22/02/2023,Galatsi,350555
23/02/2023,Menidi,449957
23/02/2023,Kiourka,78862
23/02/2023,Aspropirgos,118190
23/02/2023,Galatsi,338330
24/02/2023,Galatsi,319241
24/02/2023,Aspropirgos,117390
24/02/2023,Kiourka,74017
24/02/2023,Menidi,462751
25/02/2023,Menidi,473171
25/02/2023,Kiourka,76253
25/02/2023,Aspropirgos,120000
25/02/2023,Galatsi,299110
26/02/2023,Galatsi,279491
26/02/2023,Aspropirgos,116870
26/02/2023,Kiourka,72791
26/02/2023,Menidi,437369
27/02/2023,Menidi,468734
27/02/2023,Kiourka,65458
27/02/2023,Aspropirgos,117390
27/02/2023,Galatsi,301665
28/02/2023,Galatsi,298358
28/02/2023,Aspropirgos,118440
28/02/2023,Kiourka,60736
28/02/2023,Menidi,491788
01/03/2023,Menidi,501057
01/03/2023,Kiourka,72329
01/03/2023,Aspropirgos,119000
01/03/2023,Galatsi,308025
02/03/2023,Galatsi,299824
02/03/2023,Aspropirgos,115800
02/03/2023,Kiourka,78813
02/03/2023,Menidi,469108
03/03/2023,Menidi,483147
03/03/2023,Kiourka,78680
03/03/2023,Aspropirgos,116760
03/03/2023,Galatsi,300470
04/03/2023,Galatsi,300621
04/03/2023,Aspropirgos,114020
04/03/2023,Kiourka,78231
04/03/2023,Menidi,472277
05/03/2023,Menidi,471400
05/03/2023,Kiourka,79453
05/03/2023,Aspropirgos,115610
05/03/2023,Galatsi,307720
06/03/2023,Galatsi,308870
06/03/2023,Aspropirgos,115340
06/03/2023,Kiourka,81793
06/03/2023,Menidi,479610
07/03/2023,Menidi,472171
07/03/2023,Kiourka,77739
07/03/2023,Aspropirgos,115150
07/03/2023,Galatsi,301392
08/03/2023,Galatsi,307529
08/03/2023,Aspropirgos,115810
08/03/2023,Kiourka,78302
