Ημερομηνία,Ταμιευτήρας,Τιμή
01/01/2023,Marathonas,25626000
01/01/2023,Iliki,409725000
01/01/2023,Mornos,599930000
01/01/2023,Evinos,20813000
02/01/2023,Marathonas,25626000
02/01/2023,Iliki,409725000
02/01/2023,Mornos,599127000
02/01/2023,Evinos,20990000
03/01/2023,Marathonas,25605000
03/01/2023,Iliki,409725000
03/01/2023,Mornos,598325000
03/01/2023,Evinos,21168000
04/01/2023,Marathonas,25605000
04/01/2023,Iliki,409725000
04/01/2023,Mornos,597524000
04/01/2023,Evinos,21346000
05/01/2023,Marathonas,25605000
05/01/2023,Iliki,409725000
05/01/2023,Mornos,596563000
05/01/2023,Evinos,21525000
06/01/2023,Marathonas,25605000
06/01/2023,Iliki,409520000
06/01/2023,Mornos,595763000
06/01/2023,Evinos,21704000
07/01/2023,Marathonas,25584000
07/01/2023,Iliki,409520000
07/01/2023,Mornos,594963000
07/01/2023,Evinos,21885000
08/01/2023,Marathonas,25584000
08/01/2023,Iliki,409520000
08/01/2023,Mornos,594165000
08/01/2023,Evinos,21975000
09/01/2023,Marathonas,25563000
09/01/2023,Iliki,409520000
09/01/2023,Mornos,593365000
09/01/2023,Evinos,22156000
10/01/2023,Marathonas,25542000
10/01/2023,Iliki,409520000
10/01/2023,Mornos,593046000
10/01/2023,Evinos,22612000
11/01/2023,Marathonas,25542000
11/01/2023,Iliki,409520000
11/01/2023,Mornos,594165000
11/01/2023,Evinos,25243000
12/01/2023,Marathonas,25521000
12/01/2023,Iliki,409315000
12/01/2023,Mornos,594005000
12/01/2023,Evinos,26118000
13/01/2023,Marathonas,25500000
13/01/2023,Iliki,409315000
13/01/2023,Mornos,593365000
13/01/2023,Evinos,26808000
14/01/2023,Marathonas,25521000
14/01/2023,Iliki,409315000
14/01/2023,Mornos,593046000
14/01/2023,Evinos,27306000
15/01/2023,Marathonas,25521000
15/01/2023,Iliki,409315000
15/01/2023,Mornos,592409000
15/01/2023,Evinos,27708000
16/01/2023,Marathonas,25480000
16/01/2023,Iliki,409110000
16/01/2023,Mornos,591772000
16/01/2023,Evinos,28113000
17/01/2023,Marathonas,25438000
17/01/2023,Iliki,409110000
17/01/2023,Mornos,591134000
17/01/2023,Evinos,28521000
18/01/2023,Marathonas,25417000
18/01/2023,Iliki,409110000
18/01/2023,Mornos,591134000
18/01/2023,Evinos,29658000
19/01/2023,Marathonas,25334000
19/01/2023,Iliki,409110000
19/01/2023,Mornos,590975000
19/01/2023,Evinos,30499000
20/01/2023,Marathonas,25375000
20/01/2023,Iliki,409110000
20/01/2023,Mornos,590815000
20/01/2023,Evinos,31353000
21/01/2023,Marathonas,25375000
21/01/2023,Iliki,409110000
21/01/2023,Mornos,591134000
21/01/2023,Evinos,33876000
22/01/2023,Marathonas,25375000
22/01/2023,Iliki,408905000
22/01/2023,Mornos,593206000
22/01/2023,Evinos,39492000
23/01/2023,Marathonas,25354000
23/01/2023,Iliki,408905000
23/01/2023,Mornos,594804000
23/01/2023,Evinos,40718000
24/01/2023,Marathonas,25354000
24/01/2023,Iliki,408905000
24/01/2023,Mornos,596723000
24/01/2023,Evinos,40938000
25/01/2023,Marathonas,25292000
25/01/2023,Iliki,408905000
25/01/2023,Mornos,598645000
25/01/2023,Evinos,40938000
26/01/2023,Marathonas,25313000
26/01/2023,Iliki,408905000
26/01/2023,Mornos,600733000
26/01/2023,Evinos,41601000
27/01/2023,Marathonas,25668000
27/01/2023,Iliki,410135000
27/01/2023,Mornos,604434000
27/01/2023,Evinos,43175000
28/01/2023,Marathonas,25668000
28/01/2023,Iliki,410750000
28/01/2023,Mornos,607016000
28/01/2023,Evinos,43974000
29/01/2023,Marathonas,25605000
29/01/2023,Iliki,410750000
