Ημερομηνία,Longitude,Latitude,"Περιοχή συλλογής δείγματος",Μέτρηση,"Είδος αποτελέσματος","Μονάδα μέτρησης",Τιμή
,23.81291067,38.06845423,1954,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.207
,23.72850158,38.02107731,2010,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.459
,23.70747263,38.06250703,2030,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.253
,23.684522,38.04327857,2050,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.186
,23.67622507,38.03886797,2060,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.287
,23.69070897,38.03873978,2070,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.145
,23.71109252,38.03060497,2080,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.347
,23.70393953,38.01961122,2090,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.291
,23.690026,38.01459418,2100,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.364
,23.63371988,38.01446194,2140,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.342
,23.66048215,38.00325623,2160,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.312
,23.65721338,37.99035734,2170,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.279
,23.66968564,37.99103311,2180,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.276
,23.68827264,37.99218476,2190,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.354
,23.70903775,37.99405955,2210,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.416
,23.60908187,38.01006333,2250,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.241
,23.78300677,38.09159562,1940,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.283
,23.78300677,38.09159562,1940,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.089
,23.78300677,38.09159562,1940,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.225
,23.64211712,37.93337194,146,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.345
,23.68542623,37.97707661,6010,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.096
,23.6601472,37.98029121,6020,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.153
,23.65618491,37.98059442,6030,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.227
,23.65342067,37.97688798,6040,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.08
,23.64020099,37.97361646,6060,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.114
,23.63321043,37.96700035,6080,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.111
,23.63400949,37.95347226,6120,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.095
,23.63373384,37.95087389,6130,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.126
,23.6420689,37.92834411,6150,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.132
,23.62796265,37.93233446,6160,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.135
,23.65217193,37.93962271,6170,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.194
,23.67323412,37.94610991,6190,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.159
,23.69164396,37.94801301,6210,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.129
,23.69432319,37.9524174,6220,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.066
,23.64026269,37.93961412,6240,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.178
,23.6352338,37.97282615,1926,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.245
,23.65049179,38.02069052,1936,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.166
,23.6605722,37.99659467,1950,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.1
,23.6374825,37.98494645,1941,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.219
,23.63673627,37.98591907,1935,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.145
,23.64440874,37.95951177,1928,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.198
,23.65573754,37.93998668,1930,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.106
,23.68632522,38.0498052,1939,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.099
,23.57742263,37.96842252,1943,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.173
,23.57686641,37.96682786,1945,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.365
,22.8984324,38.25405489,7011,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.111
,23.8184361,38.03015277,191,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.375
,23.82898036,38.04390182,193,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.154
,23.76331913,37.9671107,120,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.188
,23.76373822,37.96231002,125,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.225
,23.74628153,37.95494925,130,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.13
,23.76902716,37.99339131,4010,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.276
,23.77648607,37.99622098,4020,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.363
,23.77644626,37.99275168,4030,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.661
,23.77656931,37.97125316,4060,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.475
,23.77323663,37.96994397,4070,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.273
,23.75945557,37.97068504,4090,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.262
,23.77359043,37.94663449,4100,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.386
,23.75841416,37.95734094,4110,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.148
,23.7483243,37.95728104,4120,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.276
,23.7419006,37.95316688,4140,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.129
,23.75099403,37.93022254,4160,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.266
,23.73449966,37.92178254,4180,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.1
,23.72863096,37.93616832,4190,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.123
,23.7276664,37.95106354,4220,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.127
,23.72659763,37.95526612,4230,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.184
,23.72688782,37.95811379,4240,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.265
,23.41656871,37.91177786,1967,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.18
,23.4174242,37.90741906,2601,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.245
,23.78300677,38.09159562,1940,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.27
,23.64405229,38.00426495,1947,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.421
,23.78300677,38.09159562,1940,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.27
,23.76621884,37.94149317,135,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.404
,23.70168246,37.91807243,137,Θολότητα,"Τελικό Αποτέλεσμα",NTU,0.238
