year_month,total_consumption,total_days,avg_daily_consumption,counted_supplies,postcode_count,area_count,new_connections,reservoir_total_mean,reservoir_total_std,production_total_mean,production_total_std,interruptions_total,emergency_interruptions,planned_interruptions,chlorine_mean,chlorine_std,turbidity_mean,turbidity_std,year_month_str,consumption_available,PC1,PC2,iforest_label,iforest_score,mahalanobis,mahalanobis_anomaly,cluster_month_kmeans,cluster_month_hierarchical,cluster_month_dtw,cluster_month_feature
2023-01,16620693.0,62388792.0,3.2694444444444444,2137848.0,285.0,556.0,680.0,32943800000,247670420.39354122,29302775,156844.20772358376,381,354,27,0.39757425742574254,0.07300527839964913,0.23477545691906004,0.13130740768247115,2023-01,1,2.1349511425863934,0.43925785492717045,1,0.056306480830954464,2.4165826872864073,0,0,0,0,0
2023-02,13861360.0,56631291.0,1.6329751062537947,2165970.0,287.0,567.0,676.0,30586043000,251073773.4975784,26937915,159012.6991386809,474,456,18,0.40448541329011345,0.07197217877474242,0.24611048158640225,0.13866640285905482,2023-02,1,1.0634078165644485,-0.5829286593582457,1,0.008703993330496429,3.2809207610533484,0,0,0,0,0
2023-03,16002445.0,63817248.0,1.8112393416617092,2194364.0,288.0,567.0,884.0,34170901000,249606693.67189246,30735761,163577.98638035133,372,348,24,0.417340229035833,0.07781392716790914,0.2442982005141388,0.11865330473087393,2023-03,1,1.1745865031611171,0.30763758139863295,1,0.05575908321150835,4.0155903316964965,1,0,0,0,0
2023-04,15928366.0,61653267.0,2.8374682058305614,2178817.0,288.0,566.0,740.0,33245332000,248527946.28214836,29932016,160783.13706721656,398,379,19,0.3917917675544794,0.0787314762856504,0.27186149584487534,0.16587615087763058,2023-04,1,2.0456611568576535,1.3035706831753657,1,0.0656643885611205,2.5565069732985495,0,0,0,0,0
2023-05,18345152.0,62970379.0,3.5171804437463186,2197429.0,281.0,551.0,893.0,34156783000,249474653.75298858,32989901,172732.55371558046,376,356,20,0.3891568047337278,0.07016675216533344,0.2531333333333333,0.14675554641219551,2023-05,1,2.0465391365991534,1.4704209137407525,1,0.042007823220515716,3.1376025277118984,0,0,0,0,0
2023-06,13496674.0,50556738.0,1.6607214428857715,1999683.0,288.0,560.0,787.0,32336200000,243850189.05868247,34036938,177969.4357353073,369,341,28,0.40065399239543725,0.07300139155986426,0.27765463917525773,0.14476781483113085,2023-06,1,1.418287903819423,0.4753730345132399,1,0.03975616009573746,2.8007885674906468,0,0,0,0,0
2023-07,17739689.0,63315528.0,1.925012402213318,2216505.0,288.0,575.0,775.0,31967243000,231554406.64060715,38220501,169983.24160397646,406,395,11,0.39857619577308123,0.07468512684611979,0.2870371352785146,0.16725518374520978,2023-07,1,1.501859861641299,1.4682587254659305,1,0.03556209813870653,3.322461118439889,0,0,0,0,0
2023-08,17579527.0,63216981.0,1.9283655132861788,2199279.0,288.0,572.0,480.0,30017730000,215221750.26888853,35594492,153939.36030562146,416,402,14,0.36977941176470586,0.07348673182315277,0.2349844559585492,0.14421054149137544,2023-08,1,1.9915334357060257,-0.6106744232820468,-1,-0.001441628285927421,4.6169745444947194,1,0,0,1,0
2023-09,17535444.0,61714185.0,2.715501324252743,2227400.0,288.0,572.0,616.0,27708929000,212956434.18426907,33929691,168741.49708294237,386,359,27,0.41009044435705855,0.07577991861452082,0.2494075949367089,0.13501168756716578,2023-09,1,1.597778520930444,0.5979501947746394,1,0.07263614943447666,3.3324580900651646,0,0,0,0,0
2023-10,15829124.0,51197287.0,3.701413643533123,2057513.0,281.0,548.0,882.0,28424281000,205632070.28918773,33633398,169226.07554184506,437,405,32,0.41297376093294463,0.0722487452653151,0.28913202933985327,0.14402488951579992,2023-10,1,1.3418136927978717,1.9904451478395382,1,0.004666826907770649,3.942030204117284,0,0,0,0,0
2023-11,16154049.0,61075987.0,1.7412122981124734,2220852.0,288.0,573.0,807.0,26628178000,194823052.39974213,30779957,161764.52568381876,480,444,36,0.3895181674565561,0.06827678627015839,0.263976501305483,0.15041961193870268,2023-11,1,0.6281246698106145,0.3310377418582519,1,0.09829044853496016,2.545448122603797,0,0,0,0,0
2023-12,16117533.0,62947979.0,2.7674237419856227,2169241.0,288.0,572.0,678.0,27947039000,188251603.70597282,30561160,154432.7363895992,409,385,24,0.3993257989088075,0.07448153121446648,0.24575357142857146,0.14053849325916942,2023-12,1,1.5303372919763505,0.2510306265292021,1,0.10986376643526524,1.6872110785878627,0,0,0,0,0
2024-01,14167270.0,50179124.0,3.5112837977296176,2005995.0,280.0,546.0,714.0,28050486000,197498886.6428192,30375730,151935.17567989966,443,433,10,0.3959049773755656,0.07357428508650077,,,2024-01,1,1.6661390479356006,-0.11518874393410207,1,0.0591030947729691,2.4774130149528553,0,0,0,0,0
