var1,var2,spearman_rho,p_value,n
total_consumption,total_days,0.6269841269841269,0.00046566998349940766,27
total_consumption,avg_daily_consumption,0.4084249084249084,0.034425715229074165,27
total_consumption,counted_supplies,0.7002442002442002,4.7744586789004304e-05,27
total_consumption,postcode_count,0.14089906351752582,0.48330381117633436,27
total_consumption,area_count,0.2476309832811919,0.21300352433189138,27
total_consumption,new_connections,0.19508472216298126,0.3294930696330873,27
total_consumption,reservoir_total_mean,-0.006715506715506716,0.9734800934233601,27
total_consumption,reservoir_total_std,-0.0879120879120879,0.6628112255941981,27
total_consumption,production_total_mean,0.3089133089133089,0.11691996999921463,27
total_consumption,production_total_std,0.10866910866910866,0.5895112601110185,27
total_consumption,interruptions_total,-0.21038168919674582,0.29220647700384556,27
total_consumption,emergency_interruptions,-0.18106871073101638,0.3660784230625422,27
total_consumption,planned_interruptions,-0.09631568427734728,0.6327192204555051,27
total_consumption,chlorine_mean,-0.36470588235294116,0.16486839724475397,16
total_consumption,chlorine_std,-0.19705882352941176,0.46446421122573883,16
total_consumption,turbidity_mean,-0.044466403162055336,0.8403387863596061,23
total_consumption,turbidity_std,0.14130434782608697,0.5201462786439691,23
total_consumption,consumption_available,,,27
total_days,avg_daily_consumption,-0.04395604395604395,0.8276632359973479,27
total_days,counted_supplies,0.6092796092796092,0.0007429006641823993,27
total_days,postcode_count,0.2358801286565722,0.23622435542944661,27
total_days,area_count,0.41669262989168465,0.03060421910945127,27
total_days,new_connections,0.12578232477487994,0.5318738636659344,27
total_days,reservoir_total_mean,-0.0006105006105006105,0.9975886860480586,27
total_days,reservoir_total_std,-0.10683760683760683,0.595836056368837,27
total_days,production_total_mean,-0.08058608058608058,0.6894700135854598,27
total_days,production_total_std,-0.1343101343101343,0.5041917954419021,27
total_days,interruptions_total,-0.09343511885951267,0.642972987900854,27
total_days,emergency_interruptions,-0.08732824834581901,0.6649216527332014,27
total_days,planned_interruptions,-0.004586461156064156,0.9818861412220539,27
total_days,chlorine_mean,-0.14411764705882352,0.5943782881736934,16
total_days,chlorine_std,0.17058823529411765,0.5276097688612683,16
total_days,turbidity_mean,-0.11264822134387352,0.6088271106292826,23
total_days,turbidity_std,-0.17094861660079053,0.43545673153493636,23
total_days,consumption_available,,,27
avg_daily_consumption,counted_supplies,-0.04029304029304029,0.8418384605614528,27
avg_daily_consumption,postcode_count,-0.16417256954497422,0.4132008682793959,27
